Step:249, ACC:69.81, Iter:0, batch:249, time:274.09, loss:0.47
Step:250, ACC:69.85, Iter:0, batch:250, time:274.91, loss:0.42
Step:251, ACC:69.89, Iter:0, batch:251, time:275.95, loss:0.43
Step:252, ACC:69.94, Iter:0, batch:252, time:276.86, loss:0.39
Step:253, ACC:69.96, Iter:0, batch:253, time:278.52, loss:0.51
Step:254, ACC:69.99, Iter:0, batch:254, time:279.32, loss:0.45
Step:255, ACC:70.04, Iter:0, batch:255, time:280.02, loss:0.44
Step:256, ACC:70.06, Iter:0, batch:256, time:280.79, loss:0.54
Step:257, ACC:70.10, Iter:0, batch:257, time:283.06, loss:0.43
Step:258, ACC:70.14, Iter:0, batch:258, time:284.23, loss:0.38
Step:259, ACC:70.17, Iter:0, batch:259, time:285.14, loss:0.47
Step:260, ACC:70.17, Iter:0, batch:260, time:285.79, loss:0.56
Step:261, ACC:70.21, Iter:0, batch:261, time:286.70, loss:0.44
Step:262, ACC:70.25, Iter:0, batch:262, time:287.43, loss:0.44
Step:263, ACC:70.29, Iter:0, batch:263, time:289.23, loss:0.39
Step:264, ACC:70.33, Iter:0, batch:264, time:290.05, loss:0.37
Step:265, ACC:70.35, Iter:0, batch:265, time:291.02, loss:0.46
Step:266, ACC:70.38, Iter:0, batch:266, time:291.93, loss:0.43
Step:267, ACC:70.43, Iter:0, batch:267, time:293.99, loss:0.40
Step:268, ACC:70.45, Iter:0, batch:268, time:294.93, loss:0.51
Step:269, ACC:70.49, Iter:0, batch:269, time:295.79, loss:0.39
Step:270, ACC:70.53, Iter:0, batch:270, time:296.89, loss:0.45
Step:271, ACC:70.55, Iter:0, batch:271, time:297.86, loss:0.46
Step:272, ACC:70.59, Iter:0, batch:272, time:299.69, loss:0.40
Step:273, ACC:70.64, Iter:0, batch:273, time:300.57, loss:0.42
Step:274, ACC:70.68, Iter:0, batch:274, time:301.31, loss:0.38
Step:275, ACC:70.75, Iter:0, batch:275, time:302.06, loss:0.33
Step:276, ACC:70.79, Iter:0, batch:276, time:302.86, loss:0.41
Step:277, ACC:70.78, Iter:0, batch:277, time:303.52, loss:0.56
Step:278, ACC:70.81, Iter:0, batch:278, time:305.05, loss:0.47
Step:279, ACC:70.83, Iter:0, batch:279, time:305.78, loss:0.41
Step:280, ACC:70.87, Iter:0, batch:280, time:306.47, loss:0.37
Step:281, ACC:70.91, Iter:0, batch:281, time:307.33, loss:0.42
Step:282, ACC:70.95, Iter:0, batch:282, time:308.03, loss:0.40
Step:283, ACC:70.97, Iter:0, batch:283, time:309.54, loss:0.47
Step:284, ACC:71.00, Iter:0, batch:284, time:310.36, loss:0.44
Step:285, ACC:71.01, Iter:0, batch:285, time:311.25, loss:0.45
Step:286, ACC:71.03, Iter:0, batch:286, time:312.00, loss:0.51
Step:287, ACC:71.08, Iter:0, batch:287, time:312.77, loss:0.39
Step:288, ACC:71.12, Iter:0, batch:288, time:314.39, loss:0.42
Step:289, ACC:71.17, Iter:0, batch:289, time:315.62, loss:0.38
Step:290, ACC:71.20, Iter:0, batch:290, time:316.34, loss:0.42
Step:291, ACC:71.25, Iter:0, batch:291, time:317.01, loss:0.39
Step:292, ACC:71.25, Iter:0, batch:292, time:317.78, loss:0.54
Step:293, ACC:71.27, Iter:0, batch:293, time:319.45, loss:0.47
Step:294, ACC:71.31, Iter:0, batch:294, time:320.52, loss:0.38
Step:295, ACC:71.35, Iter:0, batch:295, time:321.47, loss:0.48
Step:296, ACC:71.40, Iter:0, batch:296, time:322.36, loss:0.38
Step:297, ACC:71.40, Iter:0, batch:297, time:323.96, loss:0.54
Step:298, ACC:71.42, Iter:0, batch:298, time:324.80, loss:0.49
Step:299, ACC:71.46, Iter:0, batch:299, time:325.52, loss:0.37
Step:300, ACC:71.51, Iter:0, batch:300, time:326.32, loss:0.41
Step:301, ACC:71.54, Iter:0, batch:301, time:327.09, loss:0.43
Step:302, ACC:71.59, Iter:0, batch:302, time:327.84, loss:0.46
Step:303, ACC:71.61, Iter:0, batch:303, time:329.47, loss:0.38
Step:304, ACC:71.60, Iter:0, batch:304, time:330.45, loss:0.52
Step:305, ACC:71.62, Iter:0, batch:305, time:331.54, loss:0.44
Step:306, ACC:71.65, Iter:0, batch:306, time:332.47, loss:0.37
