Step:225, ACC:93.18, Iter:1, batch:68, time:62.64, loss:0.41
Step:226, ACC:93.19, Iter:1, batch:69, time:63.30, loss:0.19
Step:227, ACC:93.22, Iter:1, batch:70, time:64.17, loss:0.20
Step:228, ACC:93.25, Iter:1, batch:71, time:65.23, loss:0.16
Step:229, ACC:93.28, Iter:1, batch:72, time:66.12, loss:0.20
Step:230, ACC:93.26, Iter:1, batch:73, time:67.21, loss:0.24
Step:231, ACC:93.25, Iter:1, batch:74, time:68.41, loss:0.28
Step:232, ACC:93.26, Iter:1, batch:75, time:69.18, loss:0.27
Step:233, ACC:93.24, Iter:1, batch:76, time:70.05, loss:0.22
Step:234, ACC:93.23, Iter:1, batch:77, time:70.91, loss:0.32
Step:235, ACC:93.22, Iter:1, batch:78, time:71.81, loss:0.25
Step:236, ACC:93.22, Iter:1, batch:79, time:72.46, loss:0.22
Step:237, ACC:93.21, Iter:1, batch:80, time:73.38, loss:0.31
Step:238, ACC:93.24, Iter:1, batch:81, time:74.03, loss:0.18
Step:239, ACC:93.28, Iter:1, batch:82, time:74.63, loss:0.16
Step:240, ACC:93.28, Iter:1, batch:83, time:75.42, loss:0.19
Step:241, ACC:93.24, Iter:1, batch:84, time:76.19, loss:0.32
Step:242, ACC:93.22, Iter:1, batch:85, time:77.05, loss:0.25
Step:243, ACC:93.27, Iter:1, batch:86, time:78.13, loss:0.13
Step:244, ACC:93.31, Iter:1, batch:87, time:78.68, loss:0.17
Step:245, ACC:93.29, Iter:1, batch:88, time:79.59, loss:0.26
Step:246, ACC:93.28, Iter:1, batch:89, time:80.48, loss:0.19
Step:247, ACC:93.34, Iter:1, batch:90, time:81.08, loss:0.12
Step:248, ACC:93.31, Iter:1, batch:91, time:81.80, loss:0.34
Step:249, ACC:93.30, Iter:1, batch:92, time:82.39, loss:0.32
Step:250, ACC:93.32, Iter:1, batch:93, time:83.26, loss:0.17
Step:251, ACC:93.34, Iter:1, batch:94, time:84.05, loss:0.19
Step:252, ACC:93.34, Iter:1, batch:95, time:84.98, loss:0.21
Step:253, ACC:93.35, Iter:1, batch:96, time:85.75, loss:0.22
Step:254, ACC:93.37, Iter:1, batch:97, time:86.42, loss:0.18
Step:255, ACC:93.40, Iter:1, batch:98, time:87.10, loss:0.11
Step:256, ACC:93.42, Iter:1, batch:99, time:87.81, loss:0.19
Step:257, ACC:93.46, Iter:1, batch:100, time:88.77, loss:0.13
Step:258, ACC:93.47, Iter:1, batch:101, time:89.65, loss:0.23
Step:259, ACC:93.51, Iter:1, batch:102, time:90.35, loss:0.13
Step:260, ACC:93.54, Iter:1, batch:103, time:91.07, loss:0.16
Step:261, ACC:93.53, Iter:1, batch:104, time:91.87, loss:0.27
Step:262, ACC:93.53, Iter:1, batch:105, time:92.74, loss:0.20
Step:263, ACC:93.56, Iter:1, batch:106, time:93.61, loss:0.11
Step:264, ACC:93.55, Iter:1, batch:107, time:94.44, loss:0.25
Step:265, ACC:93.53, Iter:1, batch:108, time:95.11, loss:0.22
Step:266, ACC:93.57, Iter:1, batch:109, time:95.78, loss:0.18
Step:267, ACC:93.55, Iter:1, batch:110, time:96.84, loss:0.23
Step:268, ACC:93.55, Iter:1, batch:111, time:97.57, loss:0.18
Step:269, ACC:93.58, Iter:1, batch:112, time:98.33, loss:0.13
Step:270, ACC:93.60, Iter:1, batch:113, time:99.02, loss:0.13
Step:271, ACC:93.57, Iter:1, batch:114, time:99.93, loss:0.27
Step:272, ACC:93.60, Iter:1, batch:115, time:100.75, loss:0.15
Step:273, ACC:93.63, Iter:1, batch:116, time:101.66, loss:0.14
Step:274, ACC:93.64, Iter:1, batch:117, time:102.41, loss:0.20
Step:275, ACC:93.59, Iter:1, batch:118, time:103.08, loss:0.36
Step:276, ACC:93.55, Iter:1, batch:119, time:103.63, loss:0.33
Step:277, ACC:93.58, Iter:1, batch:120, time:104.49, loss:0.16
Step:278, ACC:93.56, Iter:1, batch:121, time:105.53, loss:0.30
Step:279, ACC:93.52, Iter:1, batch:122, time:106.33, loss:0.28
Step:280, ACC:93.55, Iter:1, batch:123, time:107.09, loss:0.16
Step:281, ACC:93.59, Iter:1, batch:124, time:108.30, loss:0.10
Step:282, ACC:93.51, Iter:1, batch:125, time:109.63, loss:0.48
Step:283, ACC:93.50, Iter:1, batch:126, time:110.64, loss:0.23
Step:284, ACC:93.49, Iter:1, batch:127, time:111.84, loss:0.31
Step:285, ACC:93.50, Iter:1, batch:128, time:113.02, loss:0.20
Step:286, ACC:93.49, Iter:1, batch:129, time:113.65, loss:0.23
Step:287, ACC:93.48, Iter:1, batch:130, time:114.53, loss:0.26
Step:288, ACC:93.44, Iter:1, batch:131, time:115.38, loss:0.29
Step:289, ACC:93.47, Iter:1, batch:132, time:116.08, loss:0.15
Step:290, ACC:93.46, Iter:1, batch:133, time:116.88, loss:0.27
Step:291, ACC:93.44, Iter:1, batch:134, time:117.63, loss:0.28
Step:292, ACC:93.42, Iter:1, batch:135, time:118.61, loss:0.28
Step:293, ACC:93.39, Iter:1, batch:136, time:119.63, loss:0.30
Step:294, ACC:93.38, Iter:1, batch:137, time:119.79, loss:1.13
Step:295, ACC:93.31, Iter:1, batch:138, time:121.38, loss:0.37
Step:296, ACC:93.34, Iter:1, batch:139, time:122.27, loss:0.17
Step:297, ACC:93.34, Iter:1, batch:140, time:123.14, loss:0.23
Step:298, ACC:93.36, Iter:1, batch:141, time:124.11, loss:0.16
Step:299, ACC:93.33, Iter:1, batch:142, time:125.14, loss:0.30
Step:300, ACC:93.28, Iter:1, batch:143, time:126.21, loss:0.32
Step:301, ACC:93.27, Iter:1, batch:144, time:127.23, loss:0.23
Step:302, ACC:93.28, Iter:1, batch:145, time:128.01, loss:0.24
Step:303, ACC:93.27, Iter:1, batch:146, time:128.82, loss:0.24
Step:304, ACC:93.27, Iter:1, batch:147, time:129.75, loss:0.21
Step:305, ACC:93.28, Iter:1, batch:148, time:130.58, loss:0.20
Step:306, ACC:93.26, Iter:1, batch:149, time:131.62, loss:0.25
Step:307, ACC:93.28, Iter:1, batch:150, time:132.48, loss:0.15
Step:308, ACC:93.28, Iter:1, batch:151, time:134.00, loss:0.21
Step:309, ACC:93.29, Iter:1, batch:152, time:134.81, loss:0.18
Step:310, ACC:93.31, Iter:1, batch:153, time:135.66, loss:0.13
Step:311, ACC:93.30, Iter:1, batch:154, time:136.60, loss:0.22
Step:312, ACC:93.32, Iter:1, batch:155, time:137.24, loss:0.21
Step:313, ACC:93.32, Iter:1, batch:156, time:138.05, loss:0.31
sentence num: 3330,  classifier time = 26.95 
Dev: acc = 3108/3330 = 93.33
Iteration: 2, total batch num: 157
Step:314, ACC:87.50, Iter:2, batch:0, time:0.76, loss:0.30
Step:315, ACC:91.41, Iter:2, batch:1, time:1.60, loss:0.20
Step:316, ACC:91.54, Iter:2, batch:2, time:1.80, loss:0.01
Step:317, ACC:90.72, Iter:2, batch:3, time:2.53, loss:0.36
Step:318, ACC:91.86, Iter:2, batch:4, time:3.39, loss:0.17
Step:319, ACC:92.86, Iter:2, batch:5, time:4.37, loss:0.16
Step:320, ACC:93.52, Iter:2, batch:6, time:5.18, loss:0.12
Step:321, ACC:94.44, Iter:2, batch:7, time:5.86, loss:0.07
Step:322, ACC:94.55, Iter:2, batch:8, time:6.50, loss:0.17
Step:323, ACC:93.94, Iter:2, batch:9, time:7.17, loss:0.30
Step:324, ACC:94.24, Iter:2, batch:10, time:8.14, loss:0.12
Step:325, ACC:94.48, Iter:2, batch:11, time:8.90, loss:0.13
Step:326, ACC:94.03, Iter:2, batch:12, time:9.79, loss:0.33
Step:327, ACC:93.65, Iter:2, batch:13, time:11.37, loss:0.28
Step:328, ACC:93.43, Iter:2, batch:14, time:12.41, loss:0.28
Step:329, ACC:93.04, Iter:2, batch:15, time:13.15, loss:0.33
Step:330, ACC:92.79, Iter:2, batch:16, time:14.11, loss:0.29
Step:331, ACC:92.66, Iter:2, batch:17, time:14.85, loss:0.26
Step:332, ACC:92.63, Iter:2, batch:18, time:15.67, loss:0.24
Step:333, ACC:92.78, Iter:2, batch:19, time:16.78, loss:0.18
Step:334, ACC:92.67, Iter:2, batch:20, time:17.87, loss:0.28
Step:335, ACC:92.87, Iter:2, batch:21, time:19.31, loss:0.16
Step:336, ACC:92.84, Iter:2, batch:22, time:20.49, loss:0.26
Step:337, ACC:92.74, Iter:2, batch:23, time:21.78, loss:0.32
Step:338, ACC:92.59, Iter:2, batch:24, time:23.34, loss:0.29
Step:339, ACC:92.76, Iter:2, batch:25, time:24.29, loss:0.16
Step:340, ACC:92.80, Iter:2, batch:26, time:25.12, loss:0.20
Step:341, ACC:92.89, Iter:2, batch:27, time:25.87, loss:0.18
Step:342, ACC:92.87, Iter:2, batch:28, time:26.77, loss:0.25
Step:343, ACC:92.79, Iter:2, batch:29, time:27.55, loss:0.30
Step:344, ACC:92.72, Iter:2, batch:30, time:28.14, loss:0.26
Step:345, ACC:92.80, Iter:2, batch:31, time:29.03, loss:0.15
Step:346, ACC:92.93, Iter:2, batch:32, time:30.12, loss:0.13
