Step:142, ACC:65.38, Iter:0, batch:142, time:134.39, loss:0.46
Step:143, ACC:65.48, Iter:0, batch:143, time:135.17, loss:0.47
Step:144, ACC:65.52, Iter:0, batch:144, time:135.89, loss:0.58
Step:145, ACC:65.56, Iter:0, batch:145, time:136.75, loss:0.60
Step:146, ACC:65.57, Iter:0, batch:146, time:137.64, loss:0.56
Step:147, ACC:65.62, Iter:0, batch:147, time:138.52, loss:0.47
Step:148, ACC:65.71, Iter:0, batch:148, time:139.47, loss:0.45
Step:149, ACC:65.72, Iter:0, batch:149, time:140.29, loss:0.61
Step:150, ACC:65.75, Iter:0, batch:150, time:141.28, loss:0.51
Step:151, ACC:65.85, Iter:0, batch:151, time:142.21, loss:0.45
Step:152, ACC:65.93, Iter:0, batch:152, time:143.03, loss:0.46
Step:153, ACC:66.01, Iter:0, batch:153, time:144.21, loss:0.46
Step:154, ACC:66.08, Iter:0, batch:154, time:144.79, loss:0.51
Step:155, ACC:66.14, Iter:0, batch:155, time:145.58, loss:0.50
Step:156, ACC:66.17, Iter:0, batch:156, time:146.63, loss:0.53
sentence num: 3330,  classifier time = 27.32 
Dev: acc = 2690/3330 = 80.78
Exceed best acc: history = 0.00, current = 80.78
Iteration: 1, total batch num: 157
Step:157, ACC:84.38, Iter:1, batch:0, time:0.86, loss:0.43
Step:158, ACC:82.03, Iter:1, batch:1, time:1.79, loss:0.44
Step:159, ACC:81.77, Iter:1, batch:2, time:2.62, loss:0.54
Step:160, ACC:80.08, Iter:1, batch:3, time:3.79, loss:0.45
Step:161, ACC:78.75, Iter:1, batch:4, time:4.96, loss:0.59
Step:162, ACC:78.12, Iter:1, batch:5, time:5.82, loss:0.53
Step:163, ACC:78.35, Iter:1, batch:6, time:6.65, loss:0.48
Step:164, ACC:77.54, Iter:1, batch:7, time:7.83, loss:0.53
Step:165, ACC:77.43, Iter:1, batch:8, time:8.84, loss:0.45
Step:166, ACC:77.97, Iter:1, batch:9, time:9.66, loss:0.48
Step:167, ACC:77.56, Iter:1, batch:10, time:10.80, loss:0.47
Step:168, ACC:77.47, Iter:1, batch:11, time:11.86, loss:0.49
Step:169, ACC:76.68, Iter:1, batch:12, time:12.60, loss:0.51
Step:170, ACC:76.45, Iter:1, batch:13, time:13.46, loss:0.52
Step:171, ACC:76.56, Iter:1, batch:14, time:14.24, loss:0.52
Step:172, ACC:76.66, Iter:1, batch:15, time:14.91, loss:0.43
Step:173, ACC:76.29, Iter:1, batch:16, time:15.56, loss:0.60
Step:174, ACC:76.13, Iter:1, batch:17, time:16.32, loss:0.55
Step:175, ACC:76.07, Iter:1, batch:18, time:17.27, loss:0.46
Step:176, ACC:75.78, Iter:1, batch:19, time:18.16, loss:0.52
Step:177, ACC:76.12, Iter:1, batch:20, time:19.05, loss:0.43
Step:178, ACC:76.21, Iter:1, batch:21, time:20.04, loss:0.46
Step:179, ACC:76.43, Iter:1, batch:22, time:20.84, loss:0.37
Step:180, ACC:76.30, Iter:1, batch:23, time:21.73, loss:0.56
