Step:237, ACC:93.32, Iter:0, batch:237, time:283.09, loss:0.19
Step:238, ACC:93.33, Iter:0, batch:238, time:283.90, loss:0.11
Step:239, ACC:93.34, Iter:0, batch:239, time:285.41, loss:0.21
Step:240, ACC:93.34, Iter:0, batch:240, time:286.13, loss:0.19
Step:241, ACC:93.33, Iter:0, batch:241, time:286.97, loss:0.26
Step:242, ACC:93.33, Iter:0, batch:242, time:288.59, loss:0.26
Step:243, ACC:93.32, Iter:0, batch:243, time:289.72, loss:0.38
Step:244, ACC:93.33, Iter:0, batch:244, time:291.14, loss:0.13
Step:245, ACC:93.32, Iter:0, batch:245, time:292.11, loss:0.29
Step:246, ACC:93.33, Iter:0, batch:246, time:292.96, loss:0.12
Step:247, ACC:93.34, Iter:0, batch:247, time:294.23, loss:0.16
Step:248, ACC:93.33, Iter:0, batch:248, time:295.01, loss:0.31
Step:249, ACC:93.33, Iter:0, batch:249, time:295.74, loss:0.28
Step:250, ACC:93.31, Iter:0, batch:250, time:296.90, loss:0.30
Step:251, ACC:93.31, Iter:0, batch:251, time:297.75, loss:0.20
Step:252, ACC:93.31, Iter:0, batch:252, time:298.65, loss:0.27
Step:253, ACC:93.32, Iter:0, batch:253, time:299.85, loss:0.17
Step:254, ACC:93.34, Iter:0, batch:254, time:300.65, loss:0.12
Step:255, ACC:93.36, Iter:0, batch:255, time:301.53, loss:0.11
Step:256, ACC:93.36, Iter:0, batch:256, time:302.71, loss:0.19
Step:257, ACC:93.35, Iter:0, batch:257, time:303.30, loss:0.31
Step:258, ACC:93.35, Iter:0, batch:258, time:304.15, loss:0.25
Step:259, ACC:93.36, Iter:0, batch:259, time:305.69, loss:0.12
Step:260, ACC:93.37, Iter:0, batch:260, time:306.63, loss:0.15
Step:261, ACC:93.37, Iter:0, batch:261, time:308.04, loss:0.31
Step:262, ACC:93.38, Iter:0, batch:262, time:308.81, loss:0.19
Step:263, ACC:93.37, Iter:0, batch:263, time:309.65, loss:0.33
Step:264, ACC:93.36, Iter:0, batch:264, time:310.38, loss:0.41
Step:265, ACC:93.35, Iter:0, batch:265, time:311.86, loss:0.32
Step:266, ACC:93.36, Iter:0, batch:266, time:312.67, loss:0.14
Step:267, ACC:93.37, Iter:0, batch:267, time:314.35, loss:0.15
Step:268, ACC:93.38, Iter:0, batch:268, time:315.13, loss:0.19
Step:269, ACC:93.39, Iter:0, batch:269, time:315.95, loss:0.15
Step:270, ACC:93.39, Iter:0, batch:270, time:317.46, loss:0.22
Step:271, ACC:93.38, Iter:0, batch:271, time:318.07, loss:0.32
Step:272, ACC:93.37, Iter:0, batch:272, time:319.06, loss:0.29
Step:273, ACC:93.38, Iter:0, batch:273, time:320.61, loss:0.17
Step:274, ACC:93.39, Iter:0, batch:274, time:321.68, loss:0.21
Step:275, ACC:93.37, Iter:0, batch:275, time:322.65, loss:0.40
Step:276, ACC:93.37, Iter:0, batch:276, time:324.11, loss:0.22
Step:277, ACC:93.37, Iter:0, batch:277, time:325.13, loss:0.24
Step:278, ACC:93.39, Iter:0, batch:278, time:326.73, loss:0.06
Step:279, ACC:93.41, Iter:0, batch:279, time:327.74, loss:0.16
Step:280, ACC:93.40, Iter:0, batch:280, time:329.24, loss:0.25
Step:281, ACC:93.43, Iter:0, batch:281, time:330.73, loss:0.06
Step:282, ACC:93.43, Iter:0, batch:282, time:331.90, loss:0.19
Step:283, ACC:93.44, Iter:0, batch:283, time:333.25, loss:0.15
Step:284, ACC:93.46, Iter:0, batch:284, time:334.24, loss:0.14
Step:285, ACC:93.46, Iter:0, batch:285, time:335.32, loss:0.16
Step:286, ACC:93.45, Iter:0, batch:286, time:336.81, loss:0.41
Step:287, ACC:93.45, Iter:0, batch:287, time:337.94, loss:0.32
Step:288, ACC:93.44, Iter:0, batch:288, time:338.89, loss:0.38
Step:289, ACC:93.44, Iter:0, batch:289, time:340.25, loss:0.27
Step:290, ACC:93.45, Iter:0, batch:290, time:341.10, loss:0.16
Step:291, ACC:93.44, Iter:0, batch:291, time:342.10, loss:0.31
Step:292, ACC:93.43, Iter:0, batch:292, time:343.75, loss:0.29
Step:293, ACC:93.42, Iter:0, batch:293, time:344.58, loss:0.26
Step:294, ACC:93.42, Iter:0, batch:294, time:346.04, loss:0.23
Step:295, ACC:93.44, Iter:0, batch:295, time:346.85, loss:0.16
Step:296, ACC:93.41, Iter:0, batch:296, time:347.75, loss:0.45
Step:297, ACC:93.43, Iter:0, batch:297, time:349.19, loss:0.12
Step:298, ACC:93.43, Iter:0, batch:298, time:350.14, loss:0.24
Step:299, ACC:93.42, Iter:0, batch:299, time:351.77, loss:0.27
Step:300, ACC:93.43, Iter:0, batch:300, time:352.62, loss:0.19
Step:301, ACC:93.44, Iter:0, batch:301, time:353.67, loss:0.16
Step:302, ACC:93.45, Iter:0, batch:302, time:355.23, loss:0.19
Step:303, ACC:93.45, Iter:0, batch:303, time:356.12, loss:0.17
Step:304, ACC:93.45, Iter:0, batch:304, time:356.87, loss:0.30
Step:305, ACC:93.45, Iter:0, batch:305, time:358.35, loss:0.25
Step:306, ACC:93.46, Iter:0, batch:306, time:359.11, loss:0.19
Step:307, ACC:93.47, Iter:0, batch:307, time:360.00, loss:0.12
Step:308, ACC:93.45, Iter:0, batch:308, time:361.36, loss:0.41
Step:309, ACC:93.46, Iter:0, batch:309, time:362.15, loss:0.10
Step:310, ACC:93.45, Iter:0, batch:310, time:363.66, loss:0.35
Step:311, ACC:93.45, Iter:0, batch:311, time:364.97, loss:0.19
Step:312, ACC:93.46, Iter:0, batch:312, time:366.09, loss:0.15
Step:313, ACC:93.46, Iter:0, batch:313, time:367.47, loss:0.23
Step:314, ACC:93.47, Iter:0, batch:314, time:368.73, loss:0.11
Step:315, ACC:93.46, Iter:0, batch:315, time:370.27, loss:0.37
Step:316, ACC:93.46, Iter:0, batch:316, time:371.17, loss:0.21
Step:317, ACC:93.46, Iter:0, batch:317, time:372.26, loss:0.24
Step:318, ACC:93.45, Iter:0, batch:318, time:373.58, loss:0.30
Step:319, ACC:93.45, Iter:0, batch:319, time:374.26, loss:0.20
Step:320, ACC:93.44, Iter:0, batch:320, time:375.21, loss:0.37
Step:321, ACC:93.46, Iter:0, batch:321, time:376.34, loss:0.09
Step:322, ACC:93.44, Iter:0, batch:322, time:377.03, loss:0.41
